Smiles,Source
CCOC(=O)C=Cc1cnc[nH]1,Enamine
CCOC(=O)C=Cc1cscn1,Enamine
COC(=O)c1cccc(c1)c2cnc[nH]2,Enamine
c1ccc(cc1)c2ccc(cc2)c3cnc[nH]3,Enamine
CCOC(=O)c1cc(n[nH]1)c2cnc[nH]2,Enamine
C1COc2c(O1)cccc2c3cnc[nH]3,Enamine
c1cc(ncn1)c2cnc[nH]2,Enamine
c1cnc2ccc(cc2c1)c3cnc[nH]3,Enamine
c1ccc2ncc(cc2c1)c3cnc[nH]3,Enamine
c1ncc(cn1)c2cnc[nH]2,Enamine
FC(F)(F)C(F)(F)c1cnc[nH]1,Enamine
CC(c1ccccc1)c2cnc[nH]2,Enamine
CC1N=NC(C)C1C2=NCCc3[nH]cnc23,Enamine
Cc1[nH]cnc1CSCC[Si](C)(C)C,Enamine
C[Si](C)(C)CCSCc1cnc[nH]1,Enamine
CC1(C)CCC=C(C1)c2cnc[nH]2,Enamine
Ic1cnn(c1)c2cscn2,Enamine
Clc1cnn(c1)c2cscn2,Enamine
CCC(=O)c1cnn(c1)c2cscn2,Enamine
CC(=O)c1cnn(c1)c2cscn2,Enamine
Ic1cnn(c1)c2cocn2,Enamine
Brc1cnn(c1)c2cocn2,Enamine
Clc1cnn(c1)c2cocn2,Enamine
CCOC(=O)c1cnn(c1)c2cscn2,Enamine
Brc1cnn(c1)c2cscn2,Enamine
Clc1cnn(c1)c2cscn2,Enamine
COC(=O)c1cnn(c1)c2cscn2,Enamine
CCC(=O)c1cnn(c1)c2cscn2,Enamine
CC(=O)c1cnn(c1)c2cscn2,Enamine
CCOC(=O)c1cnn(c1)c2cocn2,Enamine
COC(=O)c1cnn(c1)c2cocn2,Enamine
CCC(=O)c1cnn(c1)c2cocn2,Enamine
CC(=O)c1cnn(c1)c2cocn2,Enamine
CN(C)C=CC(=O)c1cncs1,Enamine
CCOC=CC(=O)c1cscn1,Enamine
CCOC=CC(=O)c1cncs1,Enamine
CCOC(=O)c1ocnc1c2ccnn2C,Enamine
CCOC(=O)c1[nH]cnc1c2ccnn2C,Enamine
COC(=O)C(C)c1cnc[nH]1,Enamine
COC(=O)C(C)c1scnc1C,Enamine
CC1CCC(=O)CC1Cc2cncs2,Enamine
CC1CCC(=O)CC1c2cscn2,Enamine
CC1CCC(=O)CC1c2scnc2C,Enamine
CC1CCC(=O)CC1c2cncs2,Enamine
CC1CCC(=O)CC1Cc2scnc2Cl,Enamine
CC1CCC(=O)CC1Cc2cscn2,Enamine
